Country,Year,Life_expectancy,GDP_per_capita,Population_(historical_estimates),Continent
Afghanistan,1977,41.32,1022,13171294,Asia
Albania,1977,69.448,3681,2518685,Europe
Algeria,1977,54.609,4398,17582899,Africa
American Samoa,1977,69.517,,30834,Oceania
Andorra,1977,73.986,,32769,Europe
Angola,1977,43.368,1500,7533814,Africa
Anguilla,1977,70.205,,7252,North America
Antigua and Barbuda,1977,67.533,,62162,North America
Argentina,1977,68.585,13236,26661397,South America
Armenia,1977,70.798,,2944375,Asia
Aruba,1977,71.441,,60366,North America
Australia,1977,73.367,21592,14092545,Oceania
Austria,1977,71.947,20350,7636573,Europe
Azerbaijan,1977,63.921,,5863138,Asia
Bahamas,1977,67.118,,197100,North America
Bahrain,1977,68.152,7084,303169,Asia
Bangladesh,1977,50.498,843,73463593,Asia
Barbados,1977,70.931,10541,248931,North America
Belarus,1977,70.392,,9378923,Europe
Belgium,1977,72.517,21025,9816693,Europe
Belize,1977,68.509,,136990,North America
Benin,1977,45.883,1570,3433445,Africa
Bermuda,1977,73.568,,56318,North America
Bhutan,1977,43.447,,371424,Asia
Bolivia,1977,48.806,4289,5228253,South America
Bonaire Sint Eustatius and Saba,1977,71.911,,11094,North America
Bosnia and Herzegovina,1977,69.657,5647,4063188,Europe
Botswana,1977,57.649,1889,800532,Africa
Brazil,1977,61.595,7248,112425392,South America
British Virgin Islands,1977,69.606,,10923,North America
Brunei,1977,66.164,,174717,Asia
Bulgaria,1977,71.104,9398,8801899,Europe
Burkina Faso,1977,43.166,1090,6398933,Africa
Burundi,1977,45.999,1020,3854446,Africa
Cambodia,1977,18.907,1143,7196042,Asia
Cameroon,1977,50.213,1706,7887571,Africa
Canada,1977,74.178,24265,23634377,North America
Cape Verde,1977,59.535,1176,273335,Africa
Cayman Islands,1977,68.885,,13848,North America
Central African Republic,1977,47.648,1417,2039914,Africa
Chad,1977,43.979,830,4255242,Africa
Channel Islands,1977,72.773,,127186,Europe
Chile,1977,67.005,7438,10922777,South America
China,1977,65.278,1583,957891271,Asia
Colombia,1977,65.477,6046,25164544,South America
Comoros,1977,48.86,966,275903,Africa
Congo,1977,53.282,2517,1629218,Africa
Cook Islands,1977,61.791,,19068,Oceania
Costa Rica,1977,70.182,7602,2205618,North America
Cote d'Ivoire,1977,49.456,3033,7026497,Africa
Croatia,1977,69.856,12385,4536195,Europe
